"cueanexo","nombre","sector","ambito","modalidad","oferta_agregada","sexo","grado","total"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","1er Año/Grado","31"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","1er Año/Grado","21"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","2do Año/Grado","29"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","2do Año/Grado","31"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","3er Año/Grado","22"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","3er Año/Grado","30"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","4to Año/Grado","33"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","4to Año/Grado","27"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","5to Año/Grado","31"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","5to Año/Grado","30"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","6to Año/Grado","23"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","6to Año/Grado","33"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","7mo Año/Grado","20"
"540000100","ESC. Nº 661: ""LOS PARAISOS""","Estatal","Rural Aglomerado","Común","Primario","Masculino","7mo Año/Grado","22"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","1er Año/Grado","7"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","1er Año/Grado","5"
