"cueanexo","nombre","titulo","egresados"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Bachiller en Economía y Administración",12
"540001200","INST. EDUCATIVO ""LOS LAPACHOS""","Bachiller en Ciencias Sociales y Humanidades",47
"540002300","ESC. DE COMERCIO Nº 14","Bachiller en Economía y Administración",7
"540003800","E.F.A. ""PADRE ANTONIO SEPP""","Bachiller agrario",10
"540004200","INST. SUP. ""CEFERINO NAMUNCURA""","Bachiller en Economía y Administración",32
"540005300","I.E.A. Nº 03","Técnico en equipos e instalaciones electromecánicas",19
"540005300","I.E.A. Nº 03","Técnico en producción agropecuaria",31
"540006000","INST. SUP. ""ADOLFO KOLPING""","Técnico en electrónica",0
"540006200","CENTRO. EDUC. ALAS Y RAICES","Bachiller en Ciencias Sociales y Humanidades",10
"540007000","INST. ""SAN JUAN PABLO II""","Bachiller en ciencias naturales",12
"540007000","INST. ""SAN JUAN PABLO II""","Bachiller en Economía y Administración",10
"540007100","I.E.A. Nº 04","Técnico en producción agropecuaria",3
"540009700","B.O.P. Nº 16","Bachiller en ciencias naturales",22
"540012000","INST. ADVENTISTA ""MONTECARLO""","Bachiller en Economía y Administración",26
"540017800","B.O.P. Nº 26","Bachiller en Economía y Administración",22
"540020300","BACH. COMUN Nº 03","Bachiller en Ciencias Sociales y Humanidades",8
"540020400","INST. ADVENTISTA ""COMANDANTE ANDRESITO""","Bachiller en Economía y Administración",8
"540020500","CENTRO COM. RURAL EVANG.","Bachiller en Ciencias Sociales y Humanidades",12
"540020800","INST. ""SAN ALBERTO MAGNO""","Bachiller en Ciencias Sociales y Humanidades",19
"540020800","INST. ""SAN ALBERTO MAGNO""","Bachiller en Economía y Administración",52
"540020900","E.P.E.T. Nº 35 (Ex B.O.P Nº 41)","Técnico en equipos e instalaciones electromecánicas",17
"540021800","B.O.P. Nº 04","Bachiller en Economía y Administración",27
"540022500","E.P.E.T. Nº 13","Maestro mayor de obras",16
"540023600","ESC. DE COMERCIO Nº 19","Bachiller en Arte - Música",14
"540023600","ESC. DE COMERCIO Nº 19","Bachiller en ciencias naturales",36
"540023600","ESC. DE COMERCIO Nº 19","Bachiller en Economía y Administración",29
"540023900","INST. ""SAN FRANCISCO DE ASIS""","Bachiller en ciencias naturales",10
"540023900","INST. ""SAN FRANCISCO DE ASIS""","Bachiller en Economía y Administración",34
"540024600","B.O.P. Nº 46","Bachiller en ciencias naturales",4
"540026900","B.O.P. Nº 27","Bachiller en ciencias naturales",21
"540026900","B.O.P. Nº 27","Bachiller en Economía y Administración",17
"540027000","B.O.P. Nº 34","Bachiller en Economía y Administración",24
"540027800","E.P.E.T. Nº 38 (EX B.O.P. Nº 50)","Técnico en informática profesional y personal",9
"540027900","INST. SUP. ADVENTISTA DE MISIONES","Bachiller en ciencias naturales",19
"540027900","INST. SUP. ADVENTISTA DE MISIONES","Bachiller en Ciencias Sociales y Humanidades",19
"540027900","INST. SUP. ADVENTISTA DE MISIONES","Bachiller en economía y administración",27
"540031100","INST. ""CARLOS CULMEY""","Bachiller en ciencias naturales",19
"540031100","INST. ""CARLOS CULMEY""","Bachiller en Economía y Administración",15
"540032900","ESC. DE COMERCIO Nº 13","Bachiller en economía y administración",14
"540033100","ESC. NORMAL SUP. Nº 06: ""LIBERTADOR GRAL. JOSE DE SAN MARTIN""","Bachiller en ciencias naturales",93
"540036400","INST. SUP. ""NUESTRA SEÑORA DE LOURDES""","Bachiller en Economía y Administración",40
"540037000","B.O.P. Nº 03: ""Guillermo Furlong""","Bachiller en Agro y Ambiente",14
"540037000","B.O.P. Nº 03: ""Guillermo Furlong""","Bachiller en Ciencias Sociales y Humanidades",22
"540037001","Aula Sat. Nº 01: ""B.O.P. Nº 03""","Bachiller en Agro y Ambiente",4
"540037100","E.F.A. ""SAN CONRADO""","Bachiller agrario",11
"540040800","B.O.P. Nº 43","Bachiller en Ciencias Sociales y Humanidades",4
"540041800","ESC. DE COMERCIO Nº 02: ""INDEPENDENCIA NACIONAL""","Bachiller en Arte - Artes Visuales",6
"540041800","ESC. DE COMERCIO Nº 02: ""INDEPENDENCIA NACIONAL""","Bachiller en ciencias naturales",13
