cueanexo,nombre,oferta,año,matricula
540000100,"ESC. Nº 661: ""LOS PARAISOS""",Común - Primaria de 7 años ,2024,383
540000200,"ESC. Nº 240: ""ITACURUZU""",Común - Primaria de 7 años ,2024,56
540000300,"ESC. Nº 484: ""AEROPARQUE""",Común - Primaria de 7 años ,2024,155
540000400,"ESC. Nº 426: ""NICOLÁS AVELLANEDA""",Común - Primaria de 7 años ,2024,168
540000401,"Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""",Común - Jardín de infantes ,2024,1
540000401,"Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""",Común - Primaria de 7 años ,2024,9
540000402,"Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)",Común - Jardín de infantes ,2024,3
540000402,"Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)",Común - Primaria de 7 años ,2024,21
540000403,"Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")",Común - Primaria de 7 años ,2024,14
540000404,"Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")",Común - Jardín de infantes ,2024,3
540000404,"Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")",Común - Primaria de 7 años ,2024,30
540000500,ESC. Nº 265,Común - Jardín de infantes ,2024,2
540000500,ESC. Nº 265,Común - Primaria de 7 años ,2024,12
540000600,"ESC. Nº 142: ""MAYOR J.A. RAMALLO""",Común - Primaria de 7 años ,2024,15
540000700,ESC. ESPECIAL Nº 11,Especial - Educacion integral para adolescentes y jovenes,2024,29
540000700,ESC. ESPECIAL Nº 11,Especial - Primaria de 7 años ,2024,22
540000800,ESC. Nº 771,Común - Primaria de 7 años ,2024,127
540000900,B.O.P. Nº 15,Adultos - Secundaria Completa,2024,141
540000901,"Aula Sat. Nº 01: ""B.O.P. Nº 15""",Común - Secundaria Completa req. 7 años ,2024,133
540001000,ESC. Nº 227,Común - Primaria de 7 años ,2024,104
540001100,"ESC. Nº 524: ""VIRREY PEDRO DE CEBALLOS""",Común - Primaria de 7 años ,2024,204
540001200,"INST. EDUCATIVO ""LOS LAPACHOS""",Común - Jardín de infantes ,2024,77
540001200,"INST. EDUCATIVO ""LOS LAPACHOS""",Común - Primaria de 7 años ,2024,295
540001200,"INST. EDUCATIVO ""LOS LAPACHOS""",Común - Secundaria Completa req. 7 años ,2024,227
540001300,"ESC. Nº 583: ""CAPITÁN DE CORBETA: CARLOS MARIA ZUBIZARRETA""",Común - Primaria de 7 años ,2024,447
540001500,ESC. ADULTOS Nº 14,Adultos-Formación Profesional/Capacitación Laboral,2024,27
540001500,ESC. ADULTOS Nº 14,Adultos - Primaria ,2024,71
540001600,ESC. Nº 756,Común - Primaria de 7 años ,2024,390
540001700,ESC. Nº 711,Común - Primaria de 7 años ,2024,163
540001800,ESC. Nº 223,Común - Primaria de 7 años ,2024,30
540001900,ESC. Nº 41,Común - Primaria de 7 años ,2024,442
540002000,ESC. Nº 236,Común - Primaria de 7 años ,2024,478
540002100,"ESC. Nº 71: ""MARIA AUXILIADORA""",Común - Primaria de 7 años ,2024,164
540002300,ESC. DE COMERCIO Nº 14,Común - Secundaria Completa req. 7 años ,2024,108
540002400,"ESC. Nº 638: ""VIALIDAD PROVINCIAL"" (F.J.C.)",Común - Primaria de 7 años ,2024,205
540002600,ESC. Nº 625,Común - Primaria de 7 años ,2024,25
540002603,"Aula Sat. Nº 03: ""ESC. Nº 625"" (Ex Esc. Nº 872)",Común - Jardín de infantes ,2024,3
540002603,"Aula Sat. Nº 03: ""ESC. Nº 625"" (Ex Esc. Nº 872)",Común - Primaria de 7 años ,2024,4
540002700,"ESC. Nº 477: ""ALTO URUGUAY""",Común - Primaria de 7 años ,2024,52
540002800,"ESC. Nº 516: ""PROSPERO G. ALEMANDRI""",Común - Primaria de 7 años ,2024,161
540002900,"ESC. Nº 538: ""FEDERICO MAYNTZHUSEN""",Común - Jardín de infantes ,2024,18
540002900,"ESC. Nº 538: ""FEDERICO MAYNTZHUSEN""",Común - Primaria de 7 años ,2024,77
540003000,ESC. Nº 599,Común - Primaria de 7 años ,2024,72
540003100,ESC. Nº 400,Común - Primaria de 7 años ,2024,89
540003101,"Aula Sat. Nº 01: ""ESC. Nº 400""",Común - Primaria de 7 años ,2024,42
