"cueanexo","cuise","nombre","departamento","municipio","sector","ambito","oferta","matricula"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","383"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","56"
"540000300","0484","ESC. Nº 484: ""AEROPARQUE""","CAPITAL","POSADAS","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","155"
"540000400","0426","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","MONTECARLO","CARAGUATAY","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","168"
"540000401","0426","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","MONTECARLO","CARAGUATAY","Estatal","Rural Aglomerado","Común - Jardín de infantes ","1"
"540000401","0426","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","MONTECARLO","CARAGUATAY","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","9"
"540000402","0426","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","MONTECARLO","CARAGUATAY","Estatal","Rural","Común - Jardín de infantes ","3"
"540000402","0426","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","MONTECARLO","CARAGUATAY","Estatal","Rural","Común - Primaria de 7 años ","21"
"540000403","0426","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","MONTECARLO","CARAGUATAY","Estatal","Rural","Común - Primaria de 7 años ","14"
"540000404","0426","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","MONTECARLO","CARAGUATAY","Estatal","Rural","Común - Jardín de infantes ","3"
"540000404","0426","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","MONTECARLO","CARAGUATAY","Estatal","Rural","Común - Primaria de 7 años ","30"
"540000500","0265","ESC. Nº 265","MONTECARLO","CARAGUATAY","Estatal","Rural Aglomerado","Común - Jardín de infantes ","2"
"540000500","0265","ESC. Nº 265","MONTECARLO","CARAGUATAY","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","12"
"540000600","0142","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Rural Disperso","Común - Primaria de 7 años ","15"
"540000700","1388","ESC. ESPECIAL Nº 11","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Urbano","Especial - Educacion integral para adolescentes y jovenes","29"
"540000700","1388","ESC. ESPECIAL Nº 11","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Urbano","Especial - Primaria de 7 años ","22"
"540000800","0771","ESC. Nº 771","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Urbano","Común - Primaria de 7 años ","127"
"540000900","1515","B.O.P. Nº 15","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Urbano","Adultos - Secundaria Completa","141"
