"oferta","sector","sum"
"Adultos-Formación Profesional/Capacitación Laboral","Estatal","23783"
"Adultos-Formación Profesional/Capacitación Laboral","Privado","8554"
"Adultos - Alfabetización ","Estatal","98"
"Adultos - Primaria ","Estatal","9199"
"Adultos - Primaria ","Privado","142"
"Adultos - Secundaria Completa","Estatal","20234"
"Adultos - Secundaria Completa","Privado","688"
"Común-Servicios Alternativos/Complementarios","Estatal","29113"
"Común-Servicios Alternativos/Complementarios","Privado","808"
"Común - Ciclos de Enseñanza Artística","Estatal","186"
"Común - Cursos de Capacitación de SNU","Estatal","83"
"Común - Cursos de Capacitación de SNU","Privado","797"
"Común - Cursos y Talleres de Artística","Estatal","2492"
"Común - Jardín de infantes ","Estatal","34639"
"Común - Jardín de infantes ","Privado","12356"
"Común - Jardín maternal ","Estatal","529"
"Común - Jardín maternal ","Privado","275"
"Común - Primaria de 7 años ","Estatal","147943"
"Común - Primaria de 7 años ","Privado","37223"
"Común - Secundaria Completa req. 7 años ","Estatal","75276"
"Común - Secundaria Completa req. 7 años ","Privado","29321"
"Común - SNU ","Estatal","10777"
"Común - SNU ","Privado","21897"
"Común - Trayecto Artístico Profesional","Estatal","450"
"Común - Trayecto Artístico Profesional","Privado","243"
"Especial - Educacion integral para adolescentes y jovenes","Estatal","629"
"Especial - Educacion integral para adolescentes y jovenes","Privado","28"
"Especial - Educación Integral para Adolescentes y Jóvenes/Secundaria Completa req. 7 años","Privado","9"
"Especial - Jardín de infantes ","Estatal","94"
"Especial - Jardín de infantes ","Privado","57"
"Especial - Jardín maternal ","Estatal","266"
"Especial - Jardín maternal ","Privado","13"
"Especial - Primaria de 7 años ","Estatal","2473"
"Especial - Primaria de 7 años ","Privado","523"
