"cueanexo","cuise","nombre","localidad","departamento","sector","ambito","matricula","repitentes"
"540000901","1515","Aula Sat. Nº 01: ""B.O.P. Nº 15""","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Urbano","133","12"
"540001200","0905","INST. EDUCATIVO ""LOS LAPACHOS""","PUERTO ESPERANZA","IGUAZU","Privado","Urbano","227","13"
"540002300","1566","ESC. DE COMERCIO Nº 14","APOSTOLES","APOSTOLES","Estatal","Urbano","108","0"
"540003800","1702","E.F.A. ""PADRE ANTONIO SEPP""","25 DE MAYO","25 DE MAYO","Privado","Rural","92","0"
"540004200","0802","INST. SUP. ""CEFERINO NAMUNCURA""","SAN VICENTE","GUARANI","Privado","Urbano","270","3"
"540005300","1829","I.E.A. Nº 03","SAN VICENTE","GUARANI","Estatal","Urbano","443","8"
"540006000","1112","INST. SUP. ""ADOLFO KOLPING""","PUERTO RICO","LIBERTADOR GRL SAN MARTIN","Privado","Urbano","119","1"
"540006200","0438","CENTRO. EDUC. ALAS Y RAICES","POSADAS","CAPITAL","Privado","Urbano","83","5"
"540007000","1107","INST. ""SAN JUAN PABLO II""","PUERTO RICO","LIBERTADOR GRL SAN MARTIN","Privado","Urbano","227","1"
"540007100","1839","I.E.A. Nº 04","LORETO","CANDELARIA","Estatal","Rural Disperso","87","13"
"540009700","1516","B.O.P. Nº 16","CAMPO RAMON","OBERA","Estatal","Rural Aglomerado","216","23"
"540011200","3503","C.E.N.S. Nº 176","POSADAS","CAPITAL","Estatal","Urbano","64","6"
"540012000","1202","INST. ADVENTISTA ""MONTECARLO""","MONTECARLO","MONTECARLO","Privado","Urbano","131","0"
"540017800","1807","B.O.P. Nº 26","COLONIA AURORA","25 DE MAYO","Estatal","Rural","144","12"
"540020300","1590","BACH. COMUN Nº 03","CMTE. ANDRES GUACURARI","GENERAL MANUEL BELGRANO","Estatal","Urbano","207","41"
"540020400","0701","INST. ADVENTISTA ""COMANDANTE ANDRESITO""","CMTE. ANDRES GUACURARI","GENERAL MANUEL BELGRANO","Privado","Urbano","101","8"
"540020500","0702","CENTRO COM. RURAL EVANG.","CMTE. ANDRES GUACURARI","GENERAL MANUEL BELGRANO","Privado","Urbano","120","3"
"540020800","0439","INST. ""SAN ALBERTO MAGNO""","POSADAS","CAPITAL","Privado","Urbano","401","2"
"540020900","1833","E.P.E.T. Nº 35 (Ex B.O.P Nº 41)","VILLA BONITA","OBERA","Estatal","Rural","213","30"
"540021800","1504","B.O.P. Nº 04","CERRO AZUL","LEANDRO N. ALEM","Estatal","Urbano","236","26"
"540022500","4012","E.P.E.T. Nº 13","SAN JAVIER","SAN JAVIER","Estatal","Urbano","242","17"
