"cueanexo","cuise","nombre","departamento","municipio","sector","ambito","oferta","grado","matricula","repitentes"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","1er Año/Grado","52","1"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","2do Año/Grado","60","3"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","3er Año/Grado","52","5"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","4to Año/Grado","60","6"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","5to Año/Grado","61","5"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","6to Año/Grado","56","4"
"540000100","0661","ESC. Nº 661: ""LOS PARAISOS""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","7mo Año/Grado","42","3"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","1er Año/Grado","12","0"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","2do Año/Grado","8","0"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","3er Año/Grado","6","1"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","4to Año/Grado","7","2"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","5to Año/Grado","9","0"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","6to Año/Grado","6","1"
"540000200","0240","ESC. Nº 240: ""ITACURUZU""","MONTECARLO","MONTECARLO","Estatal","Rural Disperso","Común - Primaria de 7 años ","7mo Año/Grado","8","2"
"540000300","0484","ESC. Nº 484: ""AEROPARQUE""","CAPITAL","POSADAS","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","1er Año/Grado","29","0"
"540000300","0484","ESC. Nº 484: ""AEROPARQUE""","CAPITAL","POSADAS","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","2do Año/Grado","18","2"
